fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Homoglyph,facebooik.com,31.13.71.1,2a03:2880:f012:1:face:b00c:0:1,,a.ns.facebook.com,Ireland,,,75
Homoglyph,xn--faeook-rcd69u.com,,,,,,,,
Homoglyph,xn--facelbok-5dg.com,,,,,,,,
Homoglyph,xn--fcbook-ita78b.com,,,,,,,,
Homoglyph,xn--fcebk-ucea71t.com,,,,,,,,
Homoglyph,xn--facebok-9ke45m.com,,,,,,,,
Homoglyph,xn--aceb00k-2vf.com,,,,,,,,
Homoglyph,xn--fcebok-3ta243f.com,,,,,,,,
Homoglyph,xn--faceblk-4nia.com,,,,,,,,
Homoglyph,xn--fcbook-3ta9122d.com,,,,,,,,
Homoglyph,xn--facbok-53a885d.com,,,,,,,,
Homoglyph,xn--fcbook-pta13b.com,,,,,,,,
Homoglyph,xn--facdook-s9a.com,,,,,,,,
Homoglyph,xn--faceok-6wb73l.com,,,,,,,,
Homoglyph,xn--faebok-c1e3946c.com,,,,,,,,
Homoglyph,xn--fcebk-3qa45ka.com,,,,,,,,
Homoglyph,xn--facebk-mqc033b.com,,,,,,,,
Homoglyph,xn--facook-k4a24w.com,,,,,,,,
Homoglyph,xn--febook-wua3991d.com,,,,,,,,
Homoglyph,xn--fcebk-muaa58y.com,,,,,,,,
Homoglyph,xn--facboolc-d8h.com,,,,,,,,
Homoglyph,xn--faceok-6wb775c.com,,,,,,,,
Homoglyph,xn--faebk-5xa6544ca.com,,,,,,,,
Homoglyph,xn--faceook-4bd15o.com,,,,,,,,
Homoglyph,xn--faeook-c1a17x.com,,,,,,,,
Homoglyph,xn--fcebok-wta9832d.com,,,,,,,,
Homoglyph,xn--fcbook-iua51b.com,,,,,,,,
Homoglyph,xn--fcebk-rqa4474ca.com,,,,,,,,
Homoglyph,xn--facbok-dvf55v.com,,,,,,,,
Homoglyph,xn--fcebok-35b011c.com,,,,,,,,
Homoglyph,xn--acbook-q3a972e.com,,,,,,,,
