fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Bitsquatting,bankodamerica.com,171.161.198.99,,,ns10.bac.com,United States,,,100
Bitsquatting,bankobamerica.com,,,,,,,,
Bitsquatting,bankonamerica.com,208.91.197.39,,mail2.siteamerica.com,dns010.d.register.com,Virgin Islands,,,0
Bitsquatting,bankovamerica.com,,,,dns1.cscdns.net,,,,
Bitsquatting,bankofcmerica.com,108.59.12.101,,,ns1.tacomadc.com,United States,,,0
Bitsquatting,bankofemerica.com,172.98.192.35,,,ns1.rentondc.com,United States,,,0
Bitsquatting,bankofimerica.com,,,,,,,,
Bitsquatting,bankofqmerica.com,171.161.198.99,,,ns10.bac.com,United States,,,100
Bitsquatting,bankofalerica.com,5.79.79.211,,,ns1.tacomadc.com,Netherlands,,,0
Bitsquatting,bankofaoerica.com,,,,,,,,
Bitsquatting,bankofaierica.com,,,,,,,,
Bitsquatting,bankofaeerica.com,,,,,,,,
Bitsquatting,bankofa-erica.com,,,,,,,,
Bitsquatting,bankofamdrica.com,37.48.65.155,,,ns1.koaladns.com,Netherlands,,,0
Bitsquatting,bankofamgrica.com,,,,,,,,
Bitsquatting,bankofamarica.com,69.162.80.55,,,ns1.hastydns.com,United States,,,0
Bitsquatting,bankofammrica.com,,,,,,,,
Bitsquatting,bankofamurica.com,,,,,,,,
Bitsquatting,bankofamesica.com,,,,,,,,
Bitsquatting,bankofamepica.com,,,,,,,,
Bitsquatting,bankofamevica.com,,,,,,,,
Bitsquatting,bankofamezica.com,,,,,,,,
Bitsquatting,bankofamebica.com,,,,,,,,
Bitsquatting,bankofame2ica.com,,,,,,,,
Bitsquatting,bankofamerhca.com,108.59.12.101,,,ns1.tacomadc.com,United States,,,0
Bitsquatting,bankofamerkca.com,103.224.182.210,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,bankofamermca.com,,,,,,,,
Bitsquatting,bankofameraca.com,37.48.65.136,,,ns1.koaladns.com,Netherlands,,,0
Bitsquatting,bankofameryca.com,156.237.248.199,,,f1g1ns1.dnspod.net,United States,,,0
Bitsquatting,bankofameriba.com,,,,,,,,
Bitsquatting,bankofameriaa.com,103.224.182.214,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,bankofameriga.com,103.224.182.214,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,bankofamerika.com,,,,dns1.cscdns.net,,,,
Bitsquatting,bankofamerisa.com,103.224.182.210,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,bankofamericc.com,85.17.25.215,,,ns1.smtmdns.com,Netherlands,,,0
Bitsquatting,bankofamerice.com,,,,dns1.cscdns.net,,,,
Bitsquatting,bankofamerici.com,,,,,,,,
Bitsquatting,bankofamericq.com,171.161.198.99,,,ns10.bac.com,United States,,,100
Homoglyph,xn--bankofmeric-d7a1d.com,,,,,,,,
Homoglyph,xn--bankofmeric-d7a4e.com,,,,,,,,
Homoglyph,xn--bankofmeric-d7a5a.com,,,,,,,,
Homoglyph,xn--bankofmeric-d7a8b.com,,,,,,,,
Homoglyph,xn--bankofmeric-d7af.com,,,,ns-cloud-c1.googledomains.com,,,,
Homoglyph,xn--bankofmeric-d7as.com,,,,,,,,
Homoglyph,xn--bnkofameria-w7a18s.com,,,,,,,,
Homoglyph,xn--ankfamerica-4he341e.com,,,,,,,,
Homoglyph,lbarkofamerica.com,,,,,,,,
Homoglyph,xn--bnkfmeric-q1adf166g.com,,,,,,,,
Homoglyph,xn--bankofmeic-m4ae915c.com,,,,,,,,
Homoglyph,xn--bnkofmerica-l8a061a.com,,,,,,,,
Homoglyph,xn--bank0fmerica-29j.com,,,,,,,,
Homoglyph,xn--bamkofameric-c7e.com,,,,,,,,
Homoglyph,xn--bankfameric-ufb0p.com,,,,,,,,
Homoglyph,xn--bnkofmeica-s4ae115c.com,,,,,,,,
Homoglyph,xn--bnkfmeric-76a032geaf.com,,,,,,,,
Homoglyph,xn--bankofmeri-v5ae54s.com,,,,,,,,
Homoglyph,xn--bnkfamerica-cfe862g.com,,,,,,,,
Homoglyph,xn--bkofmerica-w0b7131gea.com,,,,,,,,
Homoglyph,xn--bnkofamerca-wcb7599g.com,,,,,,,,
