fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Homoglyph,xn--facebk-fxax.fr,,,,,,,,
Homoglyph,xn--facbok-dva78l.fr,,,,,,,,
Homoglyph,xn--facebk-m0e28u.fr,,,,,,,,
Homoglyph,xn--fceook-rcd9158c.fr,,,,,,,,
Homoglyph,xn--facbk-wza1734ca.fr,,,,,,,,
Homoglyph,xn--faceboik-4dg.fr,,,,,,,,
Homoglyph,xn--fcebok-pta4142d.fr,,,,,,,,
Homoglyph,xn--fcebok-wta416g.fr,,,,,,,,
Homoglyph,xn--faceb-yoba2809f.fr,,,,,,,,
Homoglyph,xn--faceoo-nze97i.fr,,,,,,,,
Homoglyph,xn--facebik-wx4ca.fr,,,,,,,,
Homoglyph,xn--faceb0k-5ni.fr,,,,,,,,
Homoglyph,xn--fcebok-pta45m.fr,,,,,,,,
Homoglyph,xn--fcebok-fxa16o.fr,,,,,,,,
Homoglyph,xn--fcebooik-9za.fr,,,,,,,,
Homoglyph,xn--faelbook-gch.fr,,,,,,,,
Homoglyph,xn--acebk-8lb710ba.fr,,,,,,,,
Homoglyph,xn--faceok-scd284a.fr,,,,,,,,
Homoglyph,xn--facbok-dva6f.fr,,,,,,,,
Homoglyph,xn--faceboik-upj.fr,,,,,,,,
Homoglyph,xn--faebok-41a356c.fr,,,,,,,,
Homoglyph,xn--fceb0ok-5wa.fr,,,,,,,,
Homoglyph,xn--fcebok-wta8n.fr,,,,,,,,
Homoglyph,xn--facbok-emh8272c.fr,,,,,,,,
Homoglyph,xn--fcebk-gra43ua.fr,,,,,,,,
Homoglyph,xn--fcebk-rwa3154ca.fr,,,,,,,,
Homoglyph,xn--facebk-f1d6097ca.fr,,,,,,,,
Homoglyph,xn--facbok-fxa178e.fr,,,,,,,,
Homoglyph,xn--facbok-0qf72h.fr,,,,,,,,
Homoglyph,xn--fcebok-zqf0515c.fr,,,,,,,,
Homoglyph,xn--facbooik-5cb.fr,,,,,,,,
Homoglyph,xn--facbk-jsa091ca.fr,,,,,,,,
Homoglyph,xn--fceboo-3nf7483f.fr,,,,,,,,
Homoglyph,xn--fcebok-3ta479c.fr,,,,,,,,
Homoglyph,xn--facbk-psa163fa.fr,,,,,,,,
Homoglyph,xn--faebok-exa1n.fr,,,,,,,,
Homoglyph,xn--facebk-fxa60l.fr,,,,,,,,
Homoglyph,xn--fcebok-3nf1265c.fr,,,,,,,,
Homoglyph,xn--faceboik-rec.fr,,,,,,,,
Homoglyph,xn--cebook-vta712d.fr,,,,,,,,
Homoglyph,xn--facbk-x0a748ba.fr,,,,,,,,
Homoglyph,xn--fcebok-zxa220f.fr,,,,,,,,
Homoglyph,xn--facebook-7ud.fr,,,,,,,,
Homoglyph,xn--facbok-kva382f.fr,,,,,,,,
Homoglyph,xn--faclbook-m1a.fr,,,,,,,,
Homoglyph,xn--faceboik-280d.fr,,,,,,,,
Homoglyph,xn--acbook-cva36k.fr,,,,,,,,
Homoglyph,xn--fcebok-m0e71t.fr,,,,,,,,
Homoglyph,xn--facbk-x0a919da.fr,,,,,,,,
Homoglyph,xn--fcebok-ita6042d.fr,,,,,,,,
Homoglyph,xn--aebook-b1a42i.fr,,,,,,,,
Homoglyph,xn--fcbook-ita32b.fr,,,,,,,,
Homoglyph,xn--febook-irf18i.fr,,,,,,,,
Homoglyph,xn--fcbook-c5a44l.fr,,,,,,,,
Homoglyph,xn--acebk-9dca845a.fr,,,,,,,,
Homoglyph,xn--faeb0ok-zjg.fr,,,,,,,,
Homoglyph,xn--fcebk-kwb866ca.fr,,,,,,,,
Homoglyph,xn--facbok-dhg8054c.fr,,,,,,,,
Homoglyph,xn--faebk-lkb362ea.fr,,,,,,,,
Homoglyph,xn--facdook-f8a.fr,,,,,,,,
Homoglyph,xn--facebok-9ke79x.fr,,,,,,,,
Homoglyph,xn--fcebok-3nf18l.fr,,,,,,,,
Homoglyph,xn--facboo-k4a9810g.fr,,,,,,,,
Homoglyph,xn--fcebok-lqc815c.fr,,,,,,,,
Homoglyph,xn--facbok-zxa4602d.fr,,,,,,,,
Homoglyph,xn--facbok-lqc652b.fr,,,,,,,,
Homoglyph,xn--facek-gwc8661ca.fr,,,,,,,,
Homoglyph,xn--febook-3ta200d.fr,,,,,,,,
Homoglyph,xn--febook-b1a35x.fr,,,,,,,,
Homoglyph,xn--fcebk-gra321da.fr,,,,,,,,
Homoglyph,xn--faebok-c1e8056c.fr,,,,,,,,
Homoglyph,xn--febook-b1a988e.fr,,,,,,,,
